step,train_loss,learning_rate,tokens_per_sec
5720,1.345420,7.61e-05,205.3
5730,1.548820,7.58e-05,228.0
5740,1.153310,7.54e-05,185.8
5750,1.275658,7.51e-05,193.2
5760,1.512301,7.48e-05,206.3
5770,1.545635,7.45e-05,228.3
5780,1.586959,7.41e-05,226.4
5790,1.399112,7.38e-05,217.3
5800,1.241822,7.35e-05,189.8
5810,1.344660,7.32e-05,205.6
5820,1.349612,7.29e-05,206.5
5830,1.485458,7.25e-05,213.5
5840,1.360580,7.22e-05,210.7
5850,1.585249,7.19e-05,231.5
5860,1.472506,7.16e-05,209.0
5870,1.520728,7.13e-05,219.9
5880,1.289609,7.09e-05,193.1
5890,1.175673,7.06e-05,199.7
5900,1.194436,7.03e-05,192.6
5910,1.601370,7.00e-05,225.9
5920,1.312660,6.97e-05,197.3
5930,1.343714,6.93e-05,208.5
5940,1.161077,6.90e-05,189.5
5950,1.594454,6.87e-05,209.0
5960,1.210506,6.84e-05,196.3
5970,1.367674,6.81e-05,206.2
5980,1.341021,6.78e-05,200.5
5990,1.364992,6.74e-05,205.3
6000,1.311446,6.71e-05,205.9
6010,1.238168,6.68e-05,191.7
6020,1.176915,6.65e-05,201.0
6030,1.348582,6.62e-05,206.1
6040,1.441184,6.59e-05,226.5
6050,0.999809,6.56e-05,165.6
6060,1.466959,6.53e-05,191.4
6070,1.541604,6.49e-05,228.8
6080,1.446245,6.46e-05,214.2
6090,1.407387,6.43e-05,215.7
6100,1.458678,6.40e-05,205.4
6110,1.223131,6.37e-05,188.4
6120,1.318023,6.34e-05,194.2
6130,1.470600,6.31e-05,213.1
6140,1.304591,6.28e-05,207.6
6150,1.384115,6.25e-05,209.0
6160,1.397520,6.21e-05,220.1
6170,1.344026,6.18e-05,214.0
6180,1.502104,6.15e-05,218.8
6190,1.347208,6.12e-05,200.8
6200,1.370206,6.09e-05,211.6
6210,1.458977,6.06e-05,203.8
6220,1.364601,6.03e-05,209.2
6230,1.570550,6.00e-05,225.4
6240,1.381806,5.97e-05,197.9
6250,1.340716,5.94e-05,211.6
6260,1.336302,5.91e-05,208.2
6270,1.199014,5.88e-05,187.6
6280,1.320198,5.85e-05,193.4
6290,1.396858,5.82e-05,206.2
6300,1.415226,5.79e-05,207.3
6310,1.332405,5.76e-05,201.8
6320,1.461671,5.73e-05,204.5
6330,1.397187,5.70e-05,210.2
6340,1.453977,5.67e-05,226.7
6350,1.327220,5.64e-05,207.3
6360,1.450109,5.61e-05,203.3
6370,1.344740,5.58e-05,216.0
6380,1.521572,5.55e-05,212.0
6390,1.407528,5.52e-05,196.7
6400,1.405467,5.49e-05,200.8
6410,1.307076,5.46e-05,193.6
6420,1.446815,5.43e-05,221.6
6430,1.202632,5.40e-05,198.2
6440,1.721592,5.37e-05,222.6
6450,1.528463,5.34e-05,214.9
6460,1.485943,5.31e-05,225.0
6470,1.519865,5.28e-05,230.8
6480,1.345328,5.25e-05,210.2
6490,1.383756,5.22e-05,211.1
6500,1.338864,5.19e-05,193.0
6510,1.250708,5.16e-05,197.2
6520,1.255697,5.13e-05,203.1
6530,1.458732,5.10e-05,213.7
6540,1.194014,5.08e-05,182.3
6550,1.279557,5.05e-05,198.6
6560,1.280272,5.02e-05,196.9
6570,1.444539,4.99e-05,203.8
6580,1.109397,4.96e-05,174.3
6590,1.468479,4.93e-05,222.3
6600,1.209694,4.90e-05,198.5
6610,1.324675,4.87e-05,204.0
6620,1.278716,4.84e-05,207.8
6630,1.414272,4.82e-05,188.6
6640,1.318191,4.79e-05,217.3
6650,1.382447,4.76e-05,198.0
6660,1.338491,4.73e-05,214.9
6670,1.359731,4.70e-05,202.4
6680,1.217782,4.67e-05,200.6
6690,1.459192,4.65e-05,216.3
6700,1.421031,4.62e-05,214.4
6710,1.523977,4.59e-05,217.1
6720,1.226684,4.56e-05,196.8
6730,1.346791,4.53e-05,205.6
6740,1.345311,4.51e-05,219.0
6750,1.222333,4.48e-05,203.1
6760,1.293443,4.45e-05,201.4
6770,1.119479,4.42e-05,184.1
6780,1.368617,4.40e-05,210.9
6790,1.228676,4.37e-05,204.9
6800,1.376725,4.34e-05,214.6
6810,1.362900,4.31e-05,205.2
6820,1.413008,4.29e-05,201.6
6830,1.396469,4.26e-05,206.1
6840,1.199613,4.23e-05,194.8
6850,1.596654,4.20e-05,236.8
6860,1.376741,4.18e-05,208.7
6870,1.577698,4.15e-05,223.1
6880,1.384728,4.12e-05,224.5
6890,1.392715,4.10e-05,221.0
6900,1.553299,4.07e-05,226.1
6910,1.507767,4.04e-05,235.7
6920,1.458130,4.02e-05,218.0
6930,1.466666,3.99e-05,212.6
6940,1.366797,3.96e-05,224.2
6950,1.349460,3.94e-05,210.9
6960,1.436305,3.91e-05,219.6
6970,1.508068,3.88e-05,217.6
6980,1.381854,3.86e-05,198.3
6990,1.396537,3.83e-05,209.8
7000,1.397946,3.80e-05,211.1
7010,1.398789,3.78e-05,206.5
7020,1.601860,3.75e-05,236.9
7030,1.140624,3.73e-05,197.7
7040,1.204982,3.70e-05,203.5
7050,1.170100,3.67e-05,201.7
7060,1.447527,3.65e-05,206.8
7070,1.588445,3.62e-05,233.9
7080,1.298274,3.60e-05,200.3
7090,1.363266,3.57e-05,207.4
7100,1.364882,3.55e-05,216.7
7110,1.239436,3.52e-05,207.5
7120,1.395180,3.49e-05,206.6
7130,1.367689,3.47e-05,207.4
7140,1.424244,3.44e-05,226.8
7150,1.308051,3.42e-05,210.4
7160,1.373436,3.39e-05,214.6
7170,1.279070,3.37e-05,218.5
7180,1.290194,3.34e-05,197.0
7190,1.186088,3.32e-05,208.4
7200,1.378118,3.29e-05,215.1
7210,1.396954,3.27e-05,206.0
7220,1.420571,3.25e-05,215.2
7230,1.447614,3.22e-05,222.2
7240,1.342222,3.20e-05,207.7
7250,1.243807,3.17e-05,203.3
7260,1.352380,3.15e-05,209.8
7270,1.288751,3.12e-05,209.1
7280,1.409603,3.10e-05,212.1
7290,1.240201,3.07e-05,200.4
7300,1.213460,3.05e-05,202.8
7310,1.223877,3.03e-05,206.8
7320,1.182861,3.00e-05,191.1
7330,1.380844,2.98e-05,217.5
7340,1.407834,2.96e-05,220.0
7350,1.122426,2.93e-05,194.6
7360,1.351083,2.91e-05,222.6
